Player,Span,Matches,Innings,Balls,Overs,Maidens,Runs,Wickets,Best Bowling,Average,Economy,Strike Rate,Four Wickets,Five Wickets,Start Year,End Year
YS Chahal (MI/RCB/RR),2013-2023,145,144,3173,528.5,4,4056,187,May-40,21.68,7.66,16.96,6,1,2013,2023
DJ Bravo (CSK/GL/MI),2008-2022,161,158,3119,519.5,3,4360,183,Apr-22,23.82,8.38,17.04,2,0,2008,2022
PP Chawla (CSK/KKR/KXIP/MI),2008-2023,181,180,3640,606.4,2,4796,179,Apr-17,26.79,7.9,20.33,2,0,2008,2023
A Mishra (DC/LSG/SRH),2008-2023,161,161,3359,559.5,6,4125,173,May-17,23.84,7.36,19.41,4,1,2008,2023
R Ashwin (CSK/DC/KXIP/RPS/RR),2009-2023,197,194,4194,699.0,4,4902,171,Apr-34,28.66,7.01,24.52,1,0,2009,2023
SL Malinga (MI),2009-2019,122,122,2827,471.1,8,3365,170,May-13,19.79,7.14,16.62,6,1,2009,2019
B Kumar (PWI/SRH),2011-2023,160,160,3568,594.4,12,4396,170,May-19,25.85,7.39,20.98,2,2,2011,2023
SP Narine (KKR),2012-2023,162,161,3745,624.1,3,4203,163,May-19,25.78,6.73,22.97,7,1,2012,2023
RA Jadeja (CSK/GL/Kochi/RR),2008-2023,226,197,3547,591.1,2,4495,152,May-16,29.57,7.6,23.33,3,1,2008,2023
Harbhajan Singh (CSK/KKR/MI),2008-2021,163,160,3416,569.2,6,4030,150,May-18,26.86,7.07,22.77,1,1,2008,2021
JJ Bumrah (MI),2013-2022,120,120,2742,457.0,8,3379,145,05-Oct,23.3,7.39,18.91,2,1,2013,2022
Rashid Khan (GT/SRH),2017-2023,109,109,2597,432.5,4,2885,139,Apr-24,20.75,6.66,18.68,2,0,2017,2023
UT Yadav (DC/KKR/RCB),2010-2023,141,140,2924,487.2,5,4107,136,Apr-23,30.19,8.42,21.5,3,0,2010,2023
Mohammed Shami (DC/GT/KKR/KXIP/PBKS),2013-2023,110,110,2426,404.2,3,3412,127,04-Nov,26.86,8.43,19.1,2,0,2013,2023
Sandeep Sharma (KXIP/PBKS/RR/SRH),2013-2023,116,116,2594,432.2,8,3398,124,Apr-20,27.4,7.85,20.91,2,0,2013,2023
MM Sharma (CSK/DC/GT/KXIP),2013-2023,100,100,2019,336.3,0,2831,119,05-Oct,23.78,8.41,16.96,3,1,2013,2023
AR Patel (DC/KXIP),2014-2023,136,134,2835,472.3,2,3421,112,Apr-21,30.54,7.24,25.31,1,0,2014,2023
HV Patel (DC/RCB),2012-2023,92,89,1867,311.1,2,2672,111,May-27,24.07,8.58,16.81,2,1,2012,2023
K Rabada (DC/PBKS),2017-2023,69,69,1566,261.0,2,2198,106,Apr-21,20.73,8.42,14.77,6,0,2017,2023
A Nehra (CSK/DC/MI/PWI/SRH),2008-2017,88,88,1908,318.0,2,2495,106,04-Oct,23.53,7.84,18.0,1,0,2008,2017
